"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","test"
"275",7.5,0.3,0.71,1.3,0.16,44,149,0.9948,3.08,0.42,8.9,5,FALSE
"276",8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,5,FALSE
"277",6.7,0.24,0.3,3.85,0.042,105,179,0.99189,3.04,0.59,11.3,8,FALSE
"278",7.1,0.13,0.29,15.5,0.064,56,115.5,0.99737,3.16,0.41,9.7,7,FALSE
"279",6.8,0.24,0.37,7.45,0.043,59,188,0.99579,3.2,0.5,9.4,6,FALSE
"280",7.4,0.44,0.2,11.5,0.049,44,157,0.998,3.27,0.44,9,5,FALSE
"281",6.9,0.31,0.33,12.7,0.038,33,116,0.9954,3.04,0.65,10.4,6,FALSE
"282",6.2,0.33,0.27,4.9,0.036,30,134,0.9927,3.2,0.42,10.4,7,FALSE
"283",6.6,0.18,0.35,1.5,0.049,49,141,0.9934,3.43,0.85,10.2,7,FALSE
"284",6.2,0.21,0.34,6.6,0.03,36,91,0.9914,3.32,0.45,12.5,7,FALSE
"285",7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5,FALSE
"286",6.8,0.3,0.27,11.6,0.028,22,97,0.99314,2.96,0.38,11.7,6,FALSE
"287",6.7,0.26,0.29,5.8,0.025,26,74,0.9929,3.28,0.53,11,6,FALSE
"288",6,0.39,0.13,1.2,0.042,60,172,0.99114,3.06,0.52,10.6,5,FALSE
"289",6.6,0.22,0.53,15.1,0.052,22,136,0.9986,2.94,0.35,9.4,5,FALSE
"290",6.1,0.31,0.58,5,0.039,36,114,0.9909,3.3,0.6,12.3,8,FALSE
"291",7.1,0.34,0.86,1.4,0.174,36,99,0.99288,2.92,0.5,9.3,5,FALSE
"292",5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,8,FALSE
"293",6.8,0.32,0.37,3.4,0.023,19,87,0.9902,3.14,0.53,12.7,6,FALSE
"294",5.6,0.24,0.34,2,0.041,14,73,0.98981,3.04,0.45,11.6,7,FALSE
"295",6.6,0.54,0.21,16.3,0.055,41,182,0.9986,3.35,0.54,10.4,6,FALSE
"296",7,0.39,0.24,1,0.048,8,119,0.9923,3,0.31,10.1,4,FALSE
"297",6.7,0.64,0.3,1.2,0.03,18,76,0.9892,3.16,0.6,12.9,4,FALSE
"298",7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,7,FALSE
"299",6.3,0.27,0.51,7.6,0.049,35,200,0.99548,3.16,0.54,9.4,4,FALSE
"300",7,0.24,0.32,1.3,0.037,39,123,0.992,3.17,0.42,11.2,8,FALSE
"301",6.8,0.32,0.3,1,0.049,22,113,0.99289,3.24,0.61,10.2,5,TRUE
"302",5.2,0.34,0.37,6.2,0.031,42,133,0.99076,3.25,0.41,12.5,6,TRUE
"303",6,0.36,0.06,1.4,0.066,27,128,0.9934,3.26,0.55,9.3,5,TRUE
"304",8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,5,TRUE
"305",6.9,0.2,0.28,1.2,0.048,36,159,0.9936,3.19,0.43,9.1,6,TRUE
"306",6.3,0.27,0.38,0.9,0.051,7,140,0.9926,3.45,0.5,10.5,7,TRUE
"307",6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7,TRUE
"308",8.2,0.34,0.29,5.2,0.076,19,92,0.99138,2.95,0.39,12.5,6,TRUE
"309",6.1,0.25,0.24,12.1,0.046,51,172,0.998,3.35,0.45,9.5,5,TRUE
"310",6.5,0.33,0.38,2.5,0.047,30,148,0.98964,3.17,0.43,12.7,6,TRUE
"311",7.6,0.51,0.24,1.2,0.04,10,104,0.992,3.05,0.29,10.8,6,TRUE
"312",6.8,0.22,0.32,5.9,0.054,40,152,0.9938,3.2,0.57,10.8,6,TRUE
"313",6.7,0.19,0.36,1.1,0.026,63,143,0.9912,3.27,0.48,11,6,TRUE
"314",6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,6,TRUE
"315",7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7,5,TRUE
"316",7.3,0.23,0.37,1.8,0.032,60,156,0.992,3.11,0.35,11.1,6,TRUE
"317",6.6,0.295,0.24,1.6,0.039,29,140,0.99304,3.35,0.61,10.4,7,TRUE
"318",6,0.25,0.4,5.7,0.052,56,152,0.99398,3.16,0.88,10.5,6,TRUE
"319",7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7,TRUE
"320",6.9,0.26,0.27,4.2,0.031,20,80,0.99089,3.12,0.39,11.5,6,TRUE
"321",6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,5,TRUE
"322",6.6,0.32,0.22,16.7,0.046,38,133,0.9979,3.22,0.67,10.4,6,TRUE
"323",6.8,0.28,0.36,8,0.045,28,123,0.9928,3.02,0.37,11.4,6,TRUE
"324",8.5,0.24,0.47,15.2,0.057,40,234,1.0005,3.02,0.66,9,5,TRUE
"325",6,0.31,0.38,4.8,0.04,41,101,0.98968,3.24,0.56,13.1,6,TRUE
"326",7,0.46,0.39,6.2,0.039,46,163,0.9928,3.21,0.35,12.2,7,TRUE
"327",7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6,TRUE
"328",6.2,0.37,0.3,6.6,0.346,79,200,0.9954,3.29,0.58,9.6,5,TRUE
"329",7.3,0.13,0.27,4.6,0.08,34,172,0.9938,3.23,0.39,11.1,7,TRUE
"330",8.6,0.23,0.25,11.3,0.031,13,96,0.99645,3.11,0.4,10.8,5,TRUE
"331",8,0.29,0.49,11.7,0.035,40,131,0.9958,3.14,0.34,10.8,5,TRUE
"332",7,0.27,0.41,18.75,0.042,34,157,1.0002,2.96,0.5,9.1,5,TRUE
"333",6.2,0.31,0.23,3.3,0.052,34,113,0.99429,3.16,0.48,8.4,5,TRUE
"334",7.2,0.3,0.3,8.7,0.022,14,111,0.99576,3.11,0.61,10.6,5,TRUE
"335",6.1,0.22,0.25,12.1,0.035,54,135,0.99481,3.21,0.4,10.7,5,TRUE
"336",7.6,0.2,0.34,1.8,0.041,42,148,0.99335,3.35,0.66,11.1,6,TRUE
"337",6.8,0.19,0.32,7.05,0.019,54,188,0.9935,3.25,0.37,11.1,8,TRUE
"338",6.8,0.3,0.29,6.2,0.025,29,95,0.99071,3.03,0.32,12.9,7,TRUE
"339",5.8,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,5,TRUE
"340",6.4,0.28,0.19,5.4,0.042,67,181,0.99435,3.31,0.35,10.2,6,TRUE
"341",6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9,4,TRUE
"342",5.7,0.21,0.32,1.6,0.03,33,122,0.99044,3.33,0.52,11.9,6,TRUE
"343",6.6,0.45,0.43,7.2,0.064,31,186,0.9954,3.12,0.44,9.4,5,TRUE
"344",6.9,0.2,0.4,7.7,0.032,51,176,0.9939,3.22,0.27,11.4,5,TRUE
"345",6.8,0.24,0.29,9.5,0.042,56,157,0.99586,3.11,0.51,10.1,6,TRUE
"346",6.7,0.53,0.29,4.3,0.069,20,114,0.99014,3.22,0.59,13.4,6,TRUE
"347",6.5,0.32,0.45,7.7,0.022,31,97,0.99134,3.2,0.7,12.7,7,TRUE
"348",6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,7,TRUE
"349",6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7,5,TRUE
"350",6.4,0.18,0.48,4,0.186,64,150,0.9945,3.06,0.4,9.3,5,TRUE
"351",6.3,0.2,0.26,4.7,0.04,108,168,0.99278,3.07,0.75,10.7,7,TRUE
"352",6.6,0.24,0.29,2,0.023,19,86,0.99,3.25,0.45,12.5,6,TRUE
"353",6.6,0.31,0.07,1.5,0.033,55,144,0.99208,3.16,0.42,10,5,TRUE
"354",6.6,0.27,0.32,1.3,0.044,18,93,0.99044,3.11,0.56,12.25,5,TRUE
"355",3.9,0.225,0.4,4.2,0.03,29,118,0.989,3.57,0.36,12.8,8,TRUE
"356",7.5,0.35,0.48,12.4,0.056,61,176.5,0.99803,2.97,0.52,8.8,5,TRUE
"357",8.3,0.39,0.7,10.6,0.045,33,169,0.9976,3.09,0.57,9.4,5,TRUE
"358",6.3,0.15,0.34,11.4,0.05,25,96,0.99754,3.21,0.49,10,6,TRUE
"359",7.2,0.44,0.28,3.4,0.048,22,112,0.99188,3.21,0.37,11.3,7,TRUE
"360",7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,6,TRUE
"361",7.9,0.16,0.3,4.8,0.037,37,171,0.9967,3.47,0.44,9,4,TRUE
"362",7,0.24,0.47,1.3,0.043,18,131,0.99176,3.19,0.45,11,6,TRUE
"363",7.3,0.25,0.41,1.8,0.037,52,165,0.9911,3.29,0.39,12.2,7,TRUE
"364",5.8,0.32,0.28,4.3,0.032,46,115,0.98946,3.16,0.57,13,8,TRUE
"365",6.4,0.15,0.31,1.1,0.044,25,96,0.9932,3.54,0.51,10.3,6,TRUE
"366",6.2,0.24,0.29,13.3,0.039,49,130,0.9952,3.33,0.46,11,8,TRUE
"367",6,0.28,0.27,15.5,0.036,31,134,0.99408,3.19,0.44,13,7,TRUE
"368",6.8,0.22,0.31,6.3,0.035,33,170,0.9918,3.24,0.66,12.6,6,TRUE
"369",5.8,0.28,0.3,3.9,0.026,36,105,0.98963,3.26,0.58,12.75,6,TRUE
"370",6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7,TRUE
"371",8.1,0.28,0.34,1.3,0.035,11,126,0.99232,3.14,0.5,9.8,6,TRUE
"372",6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6,TRUE
"373",7.8,0.21,0.49,1.35,0.052,6,48,0.9911,3.15,0.28,11.4,5,TRUE
"374",5.8,0.4,0.42,4.4,0.047,38.5,245,0.9937,3.25,0.57,9.6,6,TRUE
"375",5.9,0.37,0.3,1.5,0.033,35,95,0.98986,3.36,0.56,12,7,TRUE
"376",7,0.35,0.3,6.5,0.028,27,87,0.9936,3.4,0.42,11.4,7,TRUE
"377",7.2,0.26,0.44,7.1,0.027,25,126,0.993,3.02,0.34,11.1,8,TRUE
"378",6.8,0.24,0.34,2.7,0.047,64.5,218.5,0.9934,3.3,0.58,9.7,6,TRUE
"379",7.5,0.17,0.44,11.3,0.046,65,146,0.997,3.17,0.45,10,6,TRUE
"380",5.8,0.25,0.28,11.1,0.056,45,175,0.99755,3.42,0.43,9.5,5,TRUE
"381",6.4,0.41,0.01,6.1,0.048,20,70,0.99362,3.19,0.42,10,5,TRUE
"382",7.1,0.18,0.26,1.3,0.041,20,71,0.9926,3.04,0.74,9.9,6,TRUE
"383",6.5,0.34,0.46,1,0.023,6,80,0.98865,3.15,0.54,12.9,6,TRUE
"384",6.5,0.24,0.38,1,0.027,31,90,0.98926,3.24,0.36,12.3,6,TRUE
"385",7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,5,TRUE
"386",7.2,0.24,0.3,1.2,0.037,11,95,0.98914,2.96,0.36,12.5,6,TRUE
"387",8.4,0.28,0.4,8.9,0.048,33,146,0.9988,3.4,0.46,9.3,5,TRUE
"388",4.8,0.65,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5,4,TRUE
"389",7.8,0.32,0.31,1.7,0.036,46,195,0.993,3.03,0.48,10.5,5,TRUE
"390",6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,6,TRUE
"391",6.9,0.4,0.43,6.2,0.065,42,178,0.99552,3.11,0.53,9.4,5,TRUE
"392",5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,5,TRUE
"393",6.8,0.25,0.31,13.3,0.05,69,202,0.9972,3.22,0.48,9.7,6,TRUE
"394",6.9,0.29,0.32,5.8,0.04,16,112,0.993,3.04,0.58,11.2,5,TRUE
"395",6.7,0.24,0.26,12.6,0.053,44,182,0.99802,3.42,0.42,9.7,5,TRUE
"396",7.2,0.19,0.46,3.8,0.041,82,187,0.9932,3.19,0.6,11.2,7,TRUE
"397",7.4,0.22,0.28,9,0.046,22,121,0.99468,3.1,0.55,10.8,5,TRUE
"398",6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,5,TRUE
"399",6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,5,TRUE
"400",6.5,0.29,0.53,1.7,0.04,41,192,0.9922,3.26,0.59,10.4,7,TRUE
"401",7.7,0.39,0.28,4.9,0.035,36,109,0.9918,3.19,0.58,12.2,7,TRUE
"402",5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,6,TRUE
"403",5.7,0.31,0.28,4.1,0.03,22,86,0.99062,3.31,0.38,11.7,7,TRUE
"404",6.9,0.23,0.35,6.9,0.03,45,116,0.99244,2.8,0.54,11,6,TRUE
"405",5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6,TRUE
"406",6.2,0.17,0.28,4.7,0.037,39,133,0.9931,3.41,0.46,10.8,7,TRUE
"407",6.4,0.18,0.28,17.05,0.047,53,139,0.99724,3.25,0.35,10.5,6,TRUE
"408",7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,7,TRUE
"409",7.6,0.2,0.39,2.6,0.044,30,180,0.9941,3.46,0.44,10.8,7,TRUE
"410",7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7,TRUE
"411",7.4,0.32,0.22,1.7,0.051,50,179,0.9955,3.28,0.69,8.9,5,TRUE
"412",7.9,0.255,0.26,2,0.026,40,190,0.9932,3.04,0.39,11.2,6,TRUE
"413",8.5,0.15,0.49,1.5,0.031,17,122,0.9932,3.03,0.4,10.3,6,TRUE
"414",6.6,0.34,0.2,1,0.053,26,112,0.99336,3.32,0.55,9.1,5,TRUE
"415",7.8,0.29,0.36,7,0.042,38,161,0.9941,3.26,0.37,11.2,8,TRUE
"416",6.4,0.27,0.3,1.6,0.04,19,86,0.99089,3.32,0.65,11.5,6,TRUE
"417",7.1,0.33,0.3,3.3,0.034,30,102,0.9912,3.08,0.31,12.3,7,TRUE
"418",8.5,0.28,0.34,13.8,0.041,32,161,0.9981,3.13,0.4,9.9,6,TRUE
"419",8,0.28,0.32,7.6,0.045,61,204,0.99543,3.1,0.55,10.1,6,TRUE
"420",7.3,0.18,0.31,17.3,0.055,32,197,1.0002,3.13,0.46,9,6,TRUE
"421",6.1,0.19,0.37,2.6,0.041,24,99,0.99153,3.18,0.5,10.9,6,TRUE
"422",8.2,0.24,0.49,9.3,0.038,52,163,0.9952,3.02,0.33,10.6,6,TRUE
"423",5.9,0.32,0.26,1.5,0.057,17,141,0.9917,3.24,0.36,10.7,5,TRUE
"424",5.8,0.31,0.33,1.2,0.036,23,99,0.9916,3.18,0.6,10.5,6,TRUE
"425",6.6,0.25,0.42,11.3,0.049,77,231,0.9966,3.24,0.52,9.5,6,TRUE
"426",6.7,0.12,0.36,2.3,0.039,43,125,0.99229,3.07,0.67,10.1,7,TRUE
"427",7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,6,TRUE
"428",7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7,TRUE
"429",7.4,0.38,0.34,8.3,0.052,44,168,0.99627,3.11,0.52,9.2,5,TRUE
"430",6.8,0.19,0.32,7.6,0.049,37,107,0.99332,3.12,0.44,10.7,7,TRUE
"431",6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6,TRUE
"432",4.6,0.445,0,1.4,0.053,11,178,0.99426,3.79,0.55,10.2,5,TRUE
"433",7.7,0.11,0.34,14.05,0.04,41,114,0.99634,3.07,0.59,11,7,TRUE
"434",6.9,0.2,0.5,10,0.036,78,167,0.9964,3.15,0.55,10.2,6,TRUE
"435",5.8,0.22,0.25,1.5,0.024,21,109,0.99234,3.37,0.58,10.4,6,TRUE
"436",7.1,0.31,0.47,13.6,0.056,54,197,0.9978,3.1,0.49,9.3,5,TRUE
"437",7.7,0.24,0.31,1.3,0.047,33,106,0.993,3.22,0.55,10.8,6,TRUE
"438",6.2,0.21,0.34,6.6,0.03,36,91,0.9914,3.32,0.45,12.5,7,TRUE
"439",6.8,0.22,0.35,5.5,0.043,21,114,0.9938,3.3,0.53,10.7,7,TRUE
"440",7.7,0.29,0.48,2.3,0.049,36,178,0.9931,3.17,0.64,10.6,6,TRUE
"441",6.6,0.21,0.5,8.7,0.036,41,191,0.99294,2.96,0.56,11,6,TRUE
"442",7.2,0.21,0.35,14.5,0.048,35,178,0.9982,3.05,0.47,8.9,6,TRUE
"443",6.5,0.34,0.28,1.8,0.041,43,188,0.9928,3.13,0.37,9.6,6,TRUE
"444",6.5,0.29,0.42,10.6,0.042,66,202,0.99674,3.24,0.53,9.5,6,TRUE
"445",7.1,0.21,0.72,1.6,0.167,65,120,0.99324,2.97,0.51,9.2,5,TRUE
"446",7.9,0.25,0.35,6.7,0.039,22,64,0.99362,2.93,0.49,10.7,5,TRUE
"447",7.2,0.32,0.3,8.25,0.02,14,104,0.99362,2.99,0.44,11.4,6,TRUE
"448",6.3,0.21,0.28,1.5,0.051,46,142,0.9928,3.23,0.42,10.1,6,TRUE
"449",6.8,0.2,0.36,1.6,0.028,7,46,0.99175,3.21,0.6,10.9,6,TRUE
"450",7.7,0.35,0.46,11.8,0.088,61,183,0.99786,2.86,0.47,9,5,TRUE
"451",8.1,0.36,0.59,13.6,0.051,60,134,0.99886,2.96,0.39,8.7,5,TRUE
"452",6.4,0.32,0.27,4.9,0.034,18,122,0.9916,3.36,0.71,12.5,6,TRUE
"453",9.2,0.27,0.34,10.5,0.043,49,228,0.9974,3.04,0.41,10.4,6,TRUE
"454",5.7,0.26,0.27,4.1,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,6,TRUE
"455",6.8,0.23,0.39,16.1,0.053,71,194,0.9988,3.18,0.64,10.2,6,TRUE
"456",6.3,0.23,0.5,10.4,0.043,61,132,0.99542,2.86,0.46,9.1,6,TRUE
"457",6.2,0.28,0.57,1,0.043,50,92,0.99004,3.17,0.36,11.5,6,TRUE
"458",8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7,8,TRUE
"459",6.9,0.19,0.6,4,0.037,6,122,0.99255,2.92,0.59,10.4,4,TRUE
"460",6.5,0.26,0.32,6.65,0.059,34,104,0.99254,3.18,0.42,11.1,5,TRUE
"461",6.5,0.26,0.32,16.5,0.045,44,166,1,3.38,0.46,9.5,6,TRUE
"462",5.6,0.21,0.4,1.3,0.041,81,147,0.9901,3.22,0.95,11.6,8,TRUE
"463",7,0.16,0.25,14.3,0.044,27,149,0.998,2.91,0.46,9.2,6,TRUE
"464",5.9,0.18,0.29,4.6,0.032,68,137,0.99159,3.21,0.38,11.3,6,TRUE
"465",5.9,0.12,0.27,4.8,0.03,40,110,0.99226,3.55,0.68,12.1,6,TRUE
"466",8.1,0.5,0.47,1.1,0.037,23,126,0.9938,3.21,0.42,10.9,5,TRUE
"467",7.4,0.56,0.09,1.5,0.071,19,117,0.99496,3.22,0.53,9.8,5,TRUE
"468",9,0.31,0.49,6.9,0.034,26,91,0.9937,2.99,0.34,11.5,5,TRUE
"469",7.6,0.22,0.28,12,0.056,68,143,0.9983,2.99,0.3,9.2,6,TRUE
"470",5.8,0.335,0.14,5.8,0.046,49,197,0.9937,3.3,0.71,10.3,5,TRUE
"471",6.2,0.26,0.37,7.1,0.047,54,201,0.99523,3.19,0.48,9.5,6,TRUE
"472",6.3,0.3,0.48,7.4,0.053,34,149,0.99472,3.18,0.53,9.8,5,TRUE
"473",6,0.27,0.26,1.3,0.038,32,138,0.99125,3.46,0.43,11.1,6,TRUE
"474",7.6,0.34,0.39,7.6,0.04,45,215,0.9965,3.11,0.53,9.2,6,TRUE
"475",6.1,0.17,0.28,4.5,0.033,46,150,0.9933,3.43,0.49,10.9,6,TRUE
"476",7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1,6,TRUE
"477",6.1,0.25,0.28,10,0.055,56,131,0.994,3.22,0.35,10.9,6,TRUE
"478",9.2,0.28,0.49,11.8,0.042,29,137,0.998,3.1,0.34,10.1,4,TRUE
"479",6.1,0.22,0.46,1.8,0.16,34,74,0.9884,3.19,0.33,13.4,6,TRUE
"480",5.9,0.18,0.28,5.1,0.039,50,139,0.99165,3.16,0.44,11.3,6,TRUE
"481",7.2,0.2,0.28,1.6,0.028,13,168,0.99203,3.17,1.06,11.5,6,TRUE
"482",6.3,0.17,0.32,4.2,0.04,37,117,0.99182,3.24,0.43,11.3,6,TRUE
"483",6.4,0.28,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.5,7,TRUE
"484",5.2,0.36,0.02,1.6,0.031,24,104,0.9896,3.44,0.35,12.2,6,TRUE
"485",7.1,0.39,0.3,9.9,0.037,29,124,0.99414,3.07,0.42,10.9,6,TRUE
"486",6.4,0.13,0.28,0.9,0.045,32,87,0.99175,3.47,0.52,11.2,6,TRUE
"487",6.4,0.145,0.49,5.4,0.048,54,164,0.9946,3.56,0.44,10.8,6,TRUE
"488",6.7,0.35,0.48,8.8,0.056,35,167,0.99628,3.04,0.47,9.4,5,TRUE
"489",7.2,0.2,0.22,1.6,0.044,17,101,0.99471,3.37,0.53,10,5,TRUE
"490",8.8,0.2,0.43,15,0.053,60,184,1.0008,3.28,0.79,8.8,6,TRUE
"491",6.7,0.27,0.69,1.2,0.176,36,106,0.99288,2.96,0.43,9.2,6,TRUE
"492",6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,6,TRUE
"493",6.2,0.27,0.32,8.8,0.047,65,224,0.9961,3.17,0.47,8.9,5,TRUE
"494",5.9,0.34,0.25,2,0.042,12,110,0.99034,3.02,0.54,11.4,6,TRUE
"495",7.6,0.33,0.35,6.3,0.036,12,126,0.9924,3.16,0.39,12,7,TRUE
"496",6.2,0.12,0.26,5.7,0.044,56,158,0.9951,3.52,0.37,10.5,6,TRUE
"497",6.6,0.27,0.41,1.3,0.052,16,142,0.9951,3.42,0.47,10,6,TRUE
"498",5.7,0.335,0.34,1,0.04,13,174,0.992,3.27,0.66,10,5,TRUE
"499",7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,7,TRUE
"500",6.4,0.19,0.42,2.9,0.032,32,83,0.9908,3.3,0.41,11.7,6,TRUE
"501",5.6,0.26,0.18,1.4,0.034,18,135,0.99174,3.32,0.35,10.2,6,TRUE
"502",7.8,0.31,0.4,1.6,0.027,20,87,0.9911,3.15,0.48,11.9,6,TRUE
"503",6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9,7,TRUE
"504",5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7,4,TRUE
"505",6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,6,TRUE
"506",8.3,0.28,0.27,17.5,0.045,48,253,1.00014,3.02,0.56,9.1,6,TRUE
"507",6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1,5,TRUE
"508",6.4,0.22,0.49,7.5,0.054,42,151,0.9948,3.27,0.52,10.1,6,TRUE
"509",5.9,0.23,0.28,8.6,0.046,37,142,0.99432,3.23,0.53,10.6,6,TRUE
"510",7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7,TRUE
"511",7.5,0.27,0.79,11.95,0.04,51,159,0.99839,2.98,0.44,8.7,5,TRUE
"512",5.8,0.14,0.15,6.1,0.042,27,123,0.99362,3.06,0.6,9.9,6,TRUE
"513",7.2,0.27,0.27,2.4,0.048,30,149,0.9936,3.1,0.51,9.2,6,TRUE
"514",6.2,0.36,0.45,10.4,0.06,22,184,0.99711,3.31,0.56,9.8,6,TRUE
"515",6.8,0.23,0.3,1.7,0.043,19,95,0.99207,3.17,0.46,10.7,7,TRUE
"516",7.4,0.2,1.66,2.1,0.022,34,113,0.99165,3.26,0.55,12.2,6,TRUE
"517",6.1,0.27,0.28,9.8,0.042,61,125,0.99532,3.14,0.42,10.2,6,TRUE
"518",7.9,0.16,0.3,7.4,0.05,58,152,0.99612,3.12,0.37,9.5,6,TRUE
"519",7.1,0.22,0.74,2.7,0.044,42,144,0.991,3.31,0.41,12.2,6,TRUE
"520",6.4,0.29,0.32,2.4,0.014,34,89,0.99008,3.24,0.66,12.5,7,TRUE
"521",7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,5,TRUE
"522",7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,7,TRUE
"523",6.9,0.26,0.49,1.6,0.058,39,166,0.9965,3.65,0.52,9.4,4,TRUE
"524",5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9,7,TRUE
"525",7.6,0.27,0.52,3.2,0.043,28,152,0.99129,3.02,0.53,11.4,6,TRUE
"526",7,0.17,0.37,1.5,0.028,26,75,0.9922,3.3,0.46,10.8,7,TRUE
"527",7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8,5,TRUE
"528",6.7,0.26,0.29,7.1,0.036,28,100,0.99534,3.08,0.36,9.3,6,TRUE
"529",7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6,TRUE
"530",8.5,0.16,0.33,1,0.076,17,57,0.9921,3.14,0.46,10.6,6,TRUE
"531",6.9,0.24,0.33,4.8,0.04,16,131,0.9936,3.26,0.64,10.7,6,TRUE
"532",5.8,0.3,0.38,4.9,0.039,22,86,0.98963,3.23,0.58,13.1,7,TRUE
"533",6.6,0.25,0.25,1.3,0.04,28,85,0.98984,2.87,0.48,11.2,6,TRUE
"534",7.6,0.37,0.34,3.2,0.028,42,162,0.9903,3.01,0.33,12.4,6,TRUE
"535",8.5,0.21,0.26,9.25,0.034,73,142,0.9945,3.05,0.37,11.4,6,TRUE
"536",5.7,0.15,0.28,3.7,0.045,57,151,0.9913,3.22,0.27,11.2,6,TRUE
"537",6.9,0.13,0.28,13.3,0.05,47,132,0.99655,3.34,0.42,10.1,6,TRUE
"538",8.5,0.19,0.49,3.5,0.044,29,117,0.9938,3.14,0.51,10.1,6,TRUE
"539",6.9,0.22,0.39,6,0.035,44,141,0.99123,3.11,0.33,12.5,6,TRUE
"540",6.6,0.4,0.3,5.3,0.038,20,125,0.99204,3.36,0.73,12.6,6,TRUE
"541",5.9,0.29,0.25,12,0.057,48,224,0.9981,3.23,0.41,9,6,TRUE
"542",7.6,0.29,0.42,1.3,0.035,18,86,0.9908,2.99,0.39,11.3,5,TRUE
"543",7.3,0.32,0.25,7.2,0.056,47,180,0.9961,3.08,0.47,8.8,5,TRUE
"544",6.2,0.28,0.22,7.3,0.041,26,157,0.9957,3.44,0.64,9.8,7,TRUE
"545",7.7,0.26,0.32,1.2,0.04,26,117,0.993,3.21,0.56,10.8,5,TRUE
"546",7.5,0.31,0.51,14.8,0.039,62,204,0.9982,3.06,0.6,9.5,5,TRUE
"547",7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,6,TRUE
"548",6.3,0.21,0.58,10,0.081,34,126,0.9962,2.95,0.46,8.9,5,TRUE
"549",6.7,0.26,0.3,1.8,0.043,25,121,0.9944,3.44,0.61,10.2,6,TRUE
"550",7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7,TRUE
